編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQSMLMKIIPFFBH68CC,16,7.34,共有部分,鋼筋混凝土造,93年7月6日,十八層,
RPQSMLMKIIPFFBH68CC,16,3.35,共有部分,鋼筋混凝土造,93年7月6日,十八層,
RPQSMLMKIIPFFBH68CC,16,.87,共有部分,鋼筋混凝土造,93年7月6日,十八層,
RPVRMLMKIIPFFBH09CC,5,64.57,見其他登記事項,鋼筋混凝土造,104年12月22日,五層,
RPVRMLMKIIPFFBH09CC,5,17.04,見其他登記事項,鋼筋混凝土造,104年12月22日,五層,
RPVRMLMKIIPFFBH09CC,5,3.18,見其他登記事項,鋼筋混凝土造,104年12月22日,五層,
RPTOMLMKIIPFFFH98CC,39,101.30,見其他登記事項,鋼筋混凝土造,70年9月2日,二層,
RPPOMLMKIIPFFAH28EC,6,94.75,見其他登記事項,鋼筋混凝土造,103年6月30日,十一層,
RPOOMLMKIIPFFFH48CC,7,87.86,住家用,鋼筋混凝土造,103年1月20日,十五層,
RPOOMLMKIIPFFFH48CC,7,54.46,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPOOMLMKIIPFFFH48CC,7,18.03,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPOQMLMKIIPFFEH58CC,8,258.74,見其他登記事項,鋼筋混凝土造,101年11月12日,十九層,
RPSNMLMKIIPFFEH68CC,24,21.98,住家用,鋼筋混凝土造,86年1月22日,二十七層,
RPSNMLMKIIPFFEH68CC,24,9.61,共有部份,鋼筋混凝土造,86年1月22日,二十七層,
RPSOMLMKIIPFFGH98CC,27,85.43,見其他登記事項,鋼筋混凝土造,82年12月2日,五層,
RPSOMLMKIIPFFGH98CC,27,8.02,共有部份,鋼筋混凝土造,82年10月16日,五層,
RPSOMLMKIIPFFGH98CC,27,2.33,共有部份,鋼筋混凝土造,82年12月2日,五層,
RPRRMLNKIIPFFEH09CC,19,46.05,商業用,鋼筋混凝土造,90年8月1日,十二層,
RPRRMLNKIIPFFEH09CC,19,7.54,共有部份,鋼筋混凝土造,90年8月1日,十四層,
RPXOMLNKIIPFFAH98CC,27,101.32,住家用,鋼筋混凝土造,82年12月10日,十六層,
RPXOMLNKIIPFFAH98CC,27,23.82,共有部份,鋼筋混凝土造,82年12月10日,十六層,
RPTNMLNKIIPFFBH58CC,1,1497.52,見其他登記事項,見其他登記事項,108年7月8日,一層,
RPXOMLNKIIPFFBH09CC,11,89.39,見其他登記事項,鋼筋混凝土造,99年2月22日,五層,
RPXOMLNKIIPFFBH09CC,11,22.95,見其他登記事項,鋼筋混凝土造,99年2月22日,五層,
RPXOMLNKIIPFFBH09CC,11,42.99,見其他登記事項,鋼筋混凝土造,99年2月22日,五層,
RPWNMLNKIIPFFGH96EC,6,96.02,住家用,鋼筋混凝土造,103年7月28日,十五層,
RPWOMLMKIIPFFGH76CC,16,43.69,見其他登記事項,鋼筋混凝土造,94年1月30日,十二層,
RPWOMLMKIIPFFGH76CC,16,16.99,共有部份,鋼筋混凝土造,94年1月30日,十二層,
RPXPMLNKIIPFFHH17CC,5,112.38,住家用,鋼筋混凝土造,104年11月27日,二十二層,
RPXPMLNKIIPFFHH17CC,5,32.36,見其他登記事項,鋼筋混凝土造,104年11月27日,二十二層,
RPXPMLNKIIPFFHH17CC,5,45.74,見其他登記事項,鋼筋混凝土造,104年11月27日,二十四層,
RPXNMLNKIIPFFBH98CC,39,79.20,住家用,加強磚造,70年6月1日,二層,
